title,price,description
Small organisation launching 1–2 services,£75/month,"2 live services, 300 submissions/month, light support — Launch."
Team running several public-facing forms,£99/month,"5 live services, 1,000 submissions/month — Launch + 3 extra services."
Organisational portfolio,£195/month,"10 live services, 10,000 submissions/month, standard automation usage — Portfolio."
High-volume simple service,~£685/month,"1 live service, 80,000 submissions/month — Scale + overage (5,000 × £0.018)."
