title,price,description
Darcy AI Capacity Pack,£99/month,"Adds 1,000 Darcy assists and 25 AI form builds/month. Unlocks Darcy Pro on Launch and Portfolio. Stackable, no rollover."
Document Assurance Pack,£49/month,"1,000 sealed PDFs/month included, then £0.05 each. For regular signed/sealed answer PDF use."
Govforms CDR Capacity Pack,£99/month,"Adds 10,000 protected files/month — safe read-only rendering for uploaded DOCX, XLSX and PDF files."
Automation volume packs,from £250/month,"100,000 actions/month for £250, or 1,000,000 actions/month for £1,500 — for integration-heavy services."
Advanced sealed PDF,£0.12 per PDF,Signed and sealed answer PDFs using Govform.com's verified organisation seal. Legal terminology varies by jurisdiction.
Extra storage & processing,from £0.03/GB,£0.10/GB/month hosted storage overage · £0.03/GB processing (no scan) · £0.10/GB processing (malware-scanned).
