business_cloud,institutional
"Your team can build and manage services using the platform, docs and examples.","You need us to help design, build, migrate or operate services."
You need standard business-grade support by email/ticket.,"You need a dedicated support contact, account management or a custom SLA."
You use documented features and standard automation patterns.,"You need bespoke integration architecture, custom identity or special file handling."
You can use the standard security/compliance evidence pack.,"You need us to complete questionnaires, join assurance workshops or negotiate DR/RPO/RTO."
You can buy by card or standard invoice.,"You need bespoke procurement, contract redlines or custom commercial packaging."
